production_date,facility_code,product_code,firm_prod,planned_prod,total_monthly_requirement,unit_production_cost
2025-10-05 01:34:35.755428,VN_FAC_1,Classic_Natural_Table,42,19,61,94.06396613005406
2025-10-05 01:34:35.755428,VN_FAC_1,Contemporary_White_Chair,69,30,99,45.61869019374762
2025-10-05 01:34:35.755428,VN_FAC_1,Modern_Natural_Table,126,55,181,83.57929263111615
2025-10-05 01:34:35.755428,VN_FAC_1,Modern_White_Chair,113,49,162,47.49080237694725
2025-10-05 01:34:35.755428,VN_FAC_1,Classic_Black_Table,44,19,63,72.28095941120054
2025-10-05 01:34:35.755428,VN_FAC_1,Modern_Natural_Chair,56,25,81,46.08484485919075
2025-10-05 01:34:35.755428,VN_FAC_1,Classic_Brown_Table,131,57,188,76.43767327006343
2025-10-05 01:34:35.755428,VN_FAC_1,Classic_Brown_Chair,136,59,195,41.769850041038396
2025-10-05 01:34:35.755428,VN_FAC_1,Contemporary_White_Table,72,32,104,66.38562059775266
2025-10-05 01:34:35.755428,VN_FAC_1,Modern_Brown_Table,118,51,169,82.95726620358536
